title,calc_country,d_startDate,calc_subMinorCategory,calc_lastUpdate,calc_githubURL
Rent freeze to cope with inflationary pressures,Luxembourg,03/31/2022,"Support for other basic items (e.g., food, housing, public transport, medicines)",08/08/2022,https://static.eurofound.europa.eu/covid19db/cases/LU-2022-14_2258.html
Public aids for the fisheries sector,Spain,04/01/2022,Direct subsidies (full or partial) or damage compensation,07/06/2023,https://static.eurofound.europa.eu/covid19db/cases/ES-2022-14_2259.html
Employment rights for persons arriving from the armed conflict areas of Ukraine,Romania,03/08/2022,"Active labour market policies (enhancing employability, training, subsidised job creation, etc.)",03/06/2023,https://static.eurofound.europa.eu/covid19db/cases/RO-2022-11_2261.html
Ad-hoc financial support for vulnerable groups,Greece,03/17/2022,Increasing income in general,07/10/2023,https://static.eurofound.europa.eu/covid19db/cases/GR-2022-12_2262.html
Subsidy for fuels for low- to medium-income individuals and taxi services,Greece,03/17/2022,Support for fuel expenses,09/26/2022,https://static.eurofound.europa.eu/covid19db/cases/GR-2022-12_2264.html
Unions' household insurance scheme to cover refugees,Norway,03/17/2022,Provision of services in kind (e.g. food vouchers),06/13/2023,https://static.eurofound.europa.eu/covid19db/cases/NO-2022-12_2265.html
Crisis measures for the business community in East Finnmark,Norway,04/01/2022,Access to finance,06/13/2023,https://static.eurofound.europa.eu/covid19db/cases/NO-2022-14_2267.html
Accommodation of refugees from Ukraine,Slovenia,03/09/2022,Keeping or obtaining a safe home,06/13/2023,https://static.eurofound.europa.eu/covid19db/cases/SI-2022-11_2270.html
Income support and other humanitarian measures for Ukrainian refugees,Slovenia,03/09/2022,Other humanitarian measures,06/13/2023,https://static.eurofound.europa.eu/covid19db/cases/SI-2022-11_2271.html
Access to healthcare for Ukrainian refugees,Slovenia,03/09/2022,Access to healthcare,06/13/2023,https://static.eurofound.europa.eu/covid19db/cases/SI-2022-11_2272.html
Access to childcare and education for Ukrainian refugees,Slovenia,03/09/2022,Access to childcare and education,06/13/2023,https://static.eurofound.europa.eu/covid19db/cases/SI-2022-11_2273.html
Access to the labour market for Ukrainian refugees,Slovenia,03/09/2022,Protection of vulnerable groups (beyond employment support),06/13/2023,https://static.eurofound.europa.eu/covid19db/cases/SI-2022-11_2274.html
Subsidies and fixed prices for businesses' energy bills,Slovenia,03/04/2022,Support for energy bills,06/13/2023,https://static.eurofound.europa.eu/covid19db/cases/SI-2022-10_2275.html
One-time subsidy for energy bills of low-income households,Slovenia,02/01/2022,Support for energy bills,06/13/2023,https://static.eurofound.europa.eu/covid19db/cases/SI-2022-6_2276.html
Subsidy for loss of income for companies affected by the war in Ukraine,Norway,04/01/2022,Direct subsidies (full or partial) or damage compensation,06/13/2023,https://static.eurofound.europa.eu/covid19db/cases/NO-2022-14_2280.html
Loan guarantee scheme for companies affected by the war in Ukraine,Norway,04/01/2022,Access to finance,06/13/2023,https://static.eurofound.europa.eu/covid19db/cases/NO-2022-14_2282.html
Temporary residence permit for displaced people from Ukraine ,Denmark,03/22/2022,Keeping or obtaining a safe home,07/10/2023,https://static.eurofound.europa.eu/covid19db/cases/DK-2022-13_2283.html
Public aids for the transport sector granted after strike action by employers,Spain,04/01/2022,Direct subsidies (full or partial) or damage compensation,07/06/2023,https://static.eurofound.europa.eu/covid19db/cases/ES-2022-14_2284.html
Lidl offers jobs and language training to Ukrainians in Bulgaria,Bulgaria,05/16/2022,"Active labour market policies (enhancing employability, training, subsidised job creation, etc.)",03/01/2023,https://static.eurofound.europa.eu/covid19db/cases/BG-2022-21_2285.html
Access to health services for Ukrainians with temporary residence permits,Denmark,04/13/2022,Access to healthcare,06/20/2022,https://static.eurofound.europa.eu/covid19db/cases/DK-2022-16_2286.html
Loan guarantees for companies affected by the war in Ukraine,Germany,05/09/2022,Deferral of payments or liabilities,03/27/2024,https://static.eurofound.europa.eu/covid19db/cases/DE-2022-20_2287.html
Subsidy scheme for private landlords housing Ukrainian refugees,Denmark,03/17/2022,Keeping or obtaining a safe home,06/20/2022,https://static.eurofound.europa.eu/covid19db/cases/DK-2022-12_2288.html
Accommodation and meals for people from Ukraine,Romania,01/27/2022,Keeping or obtaining a safe home,11/07/2023,https://static.eurofound.europa.eu/covid19db/cases/RO-2022-5_2289.html
Increase in social benefits to mitigate effects of increased cost of living,Finland,08/01/2022,Increasing income in general,06/20/2022,https://static.eurofound.europa.eu/covid19db/cases/FI-2022-32_2291.html
JobguideUkraine.dk helps Ukrainian refugees find employment,Denmark,03/28/2022,Smoothing frictions or reallocation of workers,06/20/2022,https://static.eurofound.europa.eu/covid19db/cases/DK-2022-14_2292.html
Easement of formalities for Ukrainian refugees,Spain,04/01/2022,Protection of vulnerable groups (beyond employment support),06/21/2022,https://static.eurofound.europa.eu/covid19db/cases/ES-2022-14_2293.html
Refugee Reception Centres for the care of people from Ukraine,Spain,04/01/2022,Protection of vulnerable groups (beyond employment support),06/21/2022,https://static.eurofound.europa.eu/covid19db/cases/ES-2022-14_2294.html
Modification of the use of masks against COVID-19,Spain,04/20/2022,Occupational health and safety,06/21/2022,https://static.eurofound.europa.eu/covid19db/cases/ES-2022-17_2295.html
Border guards and police to issue certificates that grant the right to work for persons applying for temporary protection,Finland,04/04/2022,Smoothing frictions or reallocation of workers,06/20/2022,https://static.eurofound.europa.eu/covid19db/cases/FI-2022-15_2297.html
Financial aid for farmers,Greece,01/01/2022,Direct subsidies (full or partial) or damage compensation,06/20/2022,https://static.eurofound.europa.eu/covid19db/cases/GR-2022-1_2298.html
New portals to provide long-term accommodation for Ukrainian refugees,Estonia,03/05/2022,Keeping or obtaining a safe home,06/20/2022,https://static.eurofound.europa.eu/covid19db/cases/EE-2022-10_2299.html
Food assistance for Ukrainian refugees,Poland,02/24/2022,Provision of services in kind (e.g. food vouchers),06/20/2022,https://static.eurofound.europa.eu/covid19db/cases/PL-2022-9_2300.html
Financial support for refugees for moving to long-term accommodation,Estonia,05/17/2022,Keeping or obtaining a safe home,09/20/2022,https://static.eurofound.europa.eu/covid19db/cases/EE-2022-21_2302.html
Free initial health checks for Ukrainian refugees,Estonia,03/07/2022,Access to healthcare,09/20/2022,https://static.eurofound.europa.eu/covid19db/cases/EE-2022-11_2303.html
Job portal for Ukrainian refugees,Estonia,03/02/2022,"Active labour market policies (enhancing employability, training, subsidised job creation, etc.)",04/01/2023,https://static.eurofound.europa.eu/covid19db/cases/EE-2022-10_2304.html
"Facilitated access to finance for companies with interests in Ukraine, the Russian Federation or Belarus",Italy,03/31/2022,Access to finance,06/19/2023,https://static.eurofound.europa.eu/covid19db/cases/IT-2022-14_2306.html
Providing healthcare for refugees from Ukraine,Slovakia,03/30/2022,Access to healthcare,06/20/2022,https://static.eurofound.europa.eu/covid19db/cases/SK-2022-14_2307.html
Financing employment of refugees from Ukraine,Slovakia,03/30/2022,"Active labour market policies (enhancing employability, training, subsidised job creation, etc.)",04/20/2023,https://static.eurofound.europa.eu/covid19db/cases/SK-2022-14_2308.html
Job Dashboard and recruitment events for citizens of Ukraine,Bulgaria,03/02/2022,Smoothing frictions or reallocation of workers,03/01/2023,https://static.eurofound.europa.eu/covid19db/cases/BG-2022-10_2309.html
Helping Refugees - Career guidance,Slovakia,05/03/2022,"Active labour market policies (enhancing employability, training, subsidised job creation, etc.)",07/10/2023,https://static.eurofound.europa.eu/covid19db/cases/SK-2022-19_2310.html
Refugee accommodation allowance,Slovakia,07/01/2022,Keeping or obtaining a safe home,09/06/2022,https://static.eurofound.europa.eu/covid19db/cases/SK-2022-27_2311.html
One-time payment to support Ukrainian refugee children starting school,Estonia,04/13/2022,Access to childcare and education,06/13/2023,https://static.eurofound.europa.eu/covid19db/cases/EE-2022-16_2313.html
Social security numbers and residence for Ukrainian refugees,Poland,02/24/2022,Other humanitarian measures,03/02/2023,https://static.eurofound.europa.eu/covid19db/cases/PL-2022-9_2314.html
Obligation to declare stocks of basic goods to avoid profiteering,Greece,03/28/2022,Other,06/20/2022,https://static.eurofound.europa.eu/covid19db/cases/GR-2022-14_2315.html
Free public transport for Ukrainian refugees,Estonia,03/11/2022,Provision of services in kind (e.g. food vouchers),06/20/2022,https://static.eurofound.europa.eu/covid19db/cases/EE-2022-11_2316.html
Psychological assistance for Ukrainian refugees,Estonia,03/22/2022,Other humanitarian measures,09/20/2022,https://static.eurofound.europa.eu/covid19db/cases/EE-2022-13_2317.html
Enrolment in kindergarten or school for Ukrainian children,Bulgaria,03/06/2022,Access to childcare and education,06/13/2023,https://static.eurofound.europa.eu/covid19db/cases/BG-2022-11_2318.html
Group counselling on various subjects for Ukrainian refugees,Estonia,04/22/2022,Other humanitarian measures,06/13/2023,https://static.eurofound.europa.eu/covid19db/cases/EE-2022-17_2319.html
Electricity Support Act: Reducing household electricity costs,Norway,12/01/2021,Support for energy bills,03/06/2023,https://static.eurofound.europa.eu/covid19db/cases/NO-2021-49_2321.html
Access to childcare and education for Ukrainian refugees,Poland,02/24/2022,Access to childcare and education,03/02/2023,https://static.eurofound.europa.eu/covid19db/cases/PL-2022-9_2322.html
Basic integration training programme for Ukrainian refugees,Denmark,03/17/2022,Access to childcare and education,06/20/2022,https://static.eurofound.europa.eu/covid19db/cases/DK-2022-12_2323.html
Subsidy for electricity costs in the agricultural sector and greenhouse industry,Norway,12/01/2021,Support for energy bills,03/06/2023,https://static.eurofound.europa.eu/covid19db/cases/NO-2021-49_2325.html
Grants for small and medium-sized agricultural enterprises affected by the war in Ukraine,Italy,05/18/2022,Direct subsidies (full or partial) or damage compensation,06/19/2023,https://static.eurofound.europa.eu/covid19db/cases/IT-2022-21_2326.html
In-kind support and financial support for Ukrainian artists,Poland,02/24/2022,Extensions of income support to workers not covered by any kind of protection scheme,03/02/2023,https://static.eurofound.europa.eu/covid19db/cases/PL-2022-9_2327.html
Municipalities offer special courses for Ukrainian children in primary school,Denmark,05/27/2022,Access to childcare and education,07/10/2023,https://static.eurofound.europa.eu/covid19db/cases/DK-2022-22_2328.html
One-off subsidy for low-income employees,Italy,05/18/2022,Increasing income in general,06/21/2022,https://static.eurofound.europa.eu/covid19db/cases/IT-2022-21_2329.html
Reception and accommodation centres for Ukrainian refugees,Greece,03/01/2022,Keeping or obtaining a safe home,06/20/2022,https://static.eurofound.europa.eu/covid19db/cases/GR-2022-10_2330.html
Helping Refugees: Measure 1 - Education and training of refugees,Slovakia,05/02/2022,"Active labour market policies (enhancing employability, training, subsidised job creation, etc.)",07/10/2023,https://static.eurofound.europa.eu/covid19db/cases/SK-2022-19_2331.html
Schooling of Ukrainian children in public schools,Cyprus,04/13/2022,Access to childcare and education,06/20/2022,https://static.eurofound.europa.eu/covid19db/cases/CY-2022-16_2332.html
Temporary accommodation of refugees from Ukraine in hotels and organized apartments,Cyprus,04/22/2022,Keeping or obtaining a safe home,06/13/2023,https://static.eurofound.europa.eu/covid19db/cases/CY-2022-17_2333.html
Reception of pupils from Ukraine in international state schools,Luxembourg,03/18/2022,Access to childcare and education,06/20/2022,https://static.eurofound.europa.eu/covid19db/cases/LU-2022-12_2334.html
Support for vulnerable groups to cope with increasing costs,Estonia,06/01/2022,Protection of vulnerable groups (beyond employment support),04/01/2023,https://static.eurofound.europa.eu/covid19db/cases/EE-2022-23_2335.html
Emergency shelter for refugees,Luxembourg,03/12/2022,Keeping or obtaining a safe home,06/19/2023,https://static.eurofound.europa.eu/covid19db/cases/LU-2022-11_2337.html
EU: Faster and simpler recognition of refugees' professional qualifications,European Union,04/05/2022,Smoothing frictions or reallocation of workers,06/21/2022,https://static.eurofound.europa.eu/covid19db/cases/EU-2022-15_2338.html
The EU stands in solidarity with refugees from Ukraine,European Union,03/08/2022,Other humanitarian measures,06/21/2022,https://static.eurofound.europa.eu/covid19db/cases/EU-2022-11_2339.html
